epoch,loss,mae,mse
0,3081.9192700133817,45.092953,3081.9194
1,2973.350422972095,44.49841,2973.3503
2,3084.7901718946787,44.917492,3084.7903
3,3163.905535412075,45.865738,3163.9055
4,2969.5605019826435,44.370564,2969.5605
5,2925.074516392475,44.235508,2925.0747
6,2991.041624439153,43.785152,2991.0415
7,2974.802166763421,43.935856,2974.802
8,2905.472471760863,43.935223,2905.4724
9,2932.163571143931,44.319294,2932.1638
